chain_id,task,model,sample_index,seeded_from_main_experiment,turn,correct,turn_speedup,best_speedup_so_far,gap_vs_eager_x,gap_vs_torch_compile_x
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,62,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,63,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,64,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,65,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,66,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,67,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,68,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,69,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,70,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,71,0,,0.9619469216182842,-0.03805307838171579,
